mismatch_type,link_id,in_links_index,in_link_to_paths,path_count,sample_path_ids,street_name_1,street_name_2,street_name_3,note
missing_in_link_to_paths,9,1,0,0,,,,,r
missing_in_link_to_paths,10,1,0,0,,GOLDEN MILE HWY,,,r
missing_in_link_to_paths,22,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,74,1,0,0,,MONONGAHELA AVE,,,r
missing_in_link_to_paths,88,1,0,0,,PIERSONS RUN RD,,,r
missing_in_link_to_paths,89,1,0,0,,OLD FRANKSTOWN RD,,,r
missing_in_link_to_paths,90,1,0,0,,CENTER RD,,,r
missing_in_link_to_paths,92,1,0,0,,BOYD ST,,,r
missing_in_link_to_paths,94,1,0,0,,WILLIAM PENN HWY,,,r
missing_in_link_to_paths,144,1,0,0,,REDGATE/RIVER RD,REDGATE RD,RIVER RD,r
missing_in_link_to_paths,153,1,0,0,,GREENDALE AVE,,,r
missing_in_link_to_paths,204,1,0,0,,,,,r
missing_in_link_to_paths,205,1,0,0,,,,,r
missing_in_link_to_paths,235,1,0,0,,FOSTER RD,,,r
missing_in_link_to_paths,241,1,0,0,,,,,r
missing_in_link_to_paths,251,1,0,0,,CASINO DR,,,r
missing_in_link_to_paths,252,1,0,0,,CASINO DR,,,r
missing_in_link_to_paths,275,1,0,0,,,,,r
missing_in_link_to_paths,292,1,0,0,,BEAVER GRADE RD,,,r
missing_in_link_to_paths,306,1,0,0,,RAMP RD/TO CHATEAU ST,,,r
missing_in_link_to_paths,329,1,0,0,,TRI-BORO EXPY,WATKINS AVE,,r
missing_in_link_to_paths,334,1,0,0,,,,,r
missing_in_link_to_paths,336,1,0,0,,SALTSBURG RD,,,r
missing_in_link_to_paths,347,1,0,0,,FOSTER RD,,,r
missing_in_link_to_paths,385,1,0,0,,,,,r
missing_in_link_to_paths,418,1,0,0,,MIDDLE RD,,,r
missing_in_link_to_paths,422,1,0,0,,HOOKSTOWN GRADE RD,,,r
missing_in_link_to_paths,451,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,452,1,0,0,,LINCOLN HWY,,,r
missing_in_link_to_paths,472,1,0,0,,CREIGHTON RUN RD,,,r
missing_in_link_to_paths,485,1,0,0,,,,,r
missing_in_link_to_paths,505,1,0,0,,,,,r
missing_in_link_to_paths,506,1,0,0,,,,,r
missing_in_link_to_paths,507,1,0,0,,,,,r
missing_in_link_to_paths,528,1,0,0,,PENNSYLVANIA AVE,,,r
missing_in_link_to_paths,540,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,548,1,0,0,,FLAUGHERTY RUN/RAMP RD,,,r
missing_in_link_to_paths,549,1,0,0,,TWELVETH ST,,,r
missing_in_link_to_paths,571,1,0,0,,CEDAR AVE,,,r
missing_in_link_to_paths,572,1,0,0,,CANAL ST,,,r
missing_in_link_to_paths,589,1,0,0,,SR 65 SB TO REEDSDALE ST,REEDSDALE ST,,r
missing_in_link_to_paths,615,1,0,0,,BATTLE RIDGE RD,,,r
missing_in_link_to_paths,629,1,0,0,,,,,r
missing_in_link_to_paths,632,1,0,0,,PILLOW AVE,,,r
missing_in_link_to_paths,636,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,649,1,0,0,,WILLIAM PENN HWY,,,r
missing_in_link_to_paths,665,1,0,0,,REEDSDALE ST,,,r
missing_in_link_to_paths,700,1,0,0,,RACE ST,,,r
missing_in_link_to_paths,706,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,707,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,721,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,771,1,0,0,,OLD LEECHBURG RD,,,r
missing_in_link_to_paths,788,1,0,0,,PERRY HWY,,,r
missing_in_link_to_paths,789,1,0,0,,WARRENDALE BAYNE RD,,,r
missing_in_link_to_paths,805,1,0,0,,BRODHEAD RD,,,r
missing_in_link_to_paths,806,1,0,0,,,,,r
missing_in_link_to_paths,807,1,0,0,,BRODHEAD RD,,,r
missing_in_link_to_paths,846,1,0,0,,MONONGAHELA AVE,,,r
missing_in_link_to_paths,874,1,0,0,,STEUBENVILLE PKWY,,,r
missing_in_link_to_paths,887,1,0,0,,PIERSONS RUN RD,,,r
missing_in_link_to_paths,919,1,0,0,,RIDGE AVE,,,r
missing_in_link_to_paths,927,1,0,0,,,,,r
missing_in_link_to_paths,928,1,0,0,,TAWNEY RUN RD,,,r
missing_in_link_to_paths,929,1,0,0,,TAWNEY RUN RD,,,r
missing_in_link_to_paths,964,1,0,0,,,,,r
missing_in_link_to_paths,965,1,0,0,,GOLDEN MILE HWY,,,r
missing_in_link_to_paths,1005,1,0,0,,LITTLE DEER CREEK RD,,,r
missing_in_link_to_paths,1030,1,0,0,,ART ROONEY AVE,,,r
missing_in_link_to_paths,1035,1,0,0,,COMMONS ST,,,r
missing_in_link_to_paths,1067,1,0,0,,FLAUGHERTY RUN/RAMP RD,,,r
missing_in_link_to_paths,1083,1,0,0,,NORTHERN PKWY,,,r
missing_in_link_to_paths,1092,1,0,0,,GREENDALE AVE,,,r
missing_in_link_to_paths,1108,1,0,0,,GREENSBURG PKWY,,,r
missing_in_link_to_paths,1120,1,0,0,,PERRY HWY,,,r
